Ticker,Start_Date,Q1_Price,Percent_Change,Q2_Price,Q3_Price,Q4_Price,Portfolio_Weight,Weighted_Impact
SRE,2023-01-01,71.32,11.33,68.16,64.88,72.23,0.09892562147635998,0.011208272913271587
AZO,2023-01-01,2466.44,2.17,2468.55,2535.0,2590.0,0.09839571546666,0.002135187025626522
TRV,2023-01-01,165.06,17.26,167.29,159.3,186.8,0.09833502255493999,0.016972624892982645
NXPI,2023-01-01,180.54,13.71,201.09,197.42,224.48,0.09613408652147999,0.013179983262094908
JCI,2023-01-01,57.67,9.15,65.62,51.5,56.21,0.09607083648975,0.008790481538812126
GWW,2023-01-01,673.14,18.8,775.11,684.68,813.39,0.09576276616746,0.018003400039482483
NSC,2023-01-01,200.9,25.42,216.04,182.66,229.09,0.09530709769936001,0.024227064235177315
PSA,2023-01-01,285.74,16.46,273.74,251.82,293.27,0.0937649701054,0.015433714079348841
SLB,2023-01-01,49.91,-9.64,47.33,56.22,50.8,0.09357164593759,-0.009020306668383677
AMP,2023-01-01,298.14,16.26,323.07,320.61,372.74,0.09287703781801,0.015101806349208427
ALL,2023-01-01,107.84,27.33,105.16,107.95,137.45,0.09221471425966,0.025202281407165076
FICO,2023-01-01,700.0,33.23,805.9,865.0,1152.4,0.09159527220364999,0.030437108953272892
MNST,2023-01-01,54.22,8.88,57.0,52.83,57.52,0.0904937872343,0.00803584830640584
PAYX,2023-01-01,106.12,4.3,105.84,109.86,114.58,0.09039385321586,0.00388693568828198
CHTR,2023-01-01,358.98,-12.11,366.24,440.13,386.84,0.08991615814345,-0.010888846751171796
AEP,2023-01-01,83.52,9.77,78.42,70.25,77.11,0.08886857903242999,0.00868246017146841
ROST,2023-01-01,104.05,22.03,109.48,111.56,136.14,0.08853304362004,0.01950382950949481
PWR,2023-01-01,166.37,14.34,195.45,186.56,213.31,0.08721671635488,0.012506877125289792
CMI,2023-01-01,227.19,5.79,235.16,219.98,232.72,0.08672331010134,0.005021279654867586
AXON,2023-01-01,223.98,28.98,194.31,197.29,254.47,0.08666283089706,0.02511488839396799
VST,2023-01-01,23.17,15.37,25.59,32.86,37.91,0.08566472874199,0.013166668807643863
URI,2023-01-01,386.0,28.61,435.16,437.26,562.35,0.08531704148266,0.024409205568189027
MSCI,2023-01-01,541.01,9.79,459.21,502.64,551.86,0.08527671710033,0.008348590604122305
LULU,2023-01-01,364.19,32.23,379.9,384.6,508.57,0.08313275252152,0.02679368613768589
O,2023-01-01,56.56,16.34,54.37,45.97,53.48,0.0831239389321,0.01358245162150514
PSX,2023-01-01,97.83,12.18,90.11,114.2,128.11,0.08200705228894,0.009988458968792892
AIG,2023-01-01,48.53,12.03,55.71,58.86,65.94,0.08157558434562,0.009813542796778086
FANG,2023-01-01,131.57,3.1,121.76,144.37,148.84,0.08139387407156,0.0025232100962183602
D,2023-01-01,50.52,6.77,47.14,41.24,44.03,0.08109550901453,0.005490165960283681
HWM,2023-01-01,41.98,17.28,48.91,45.73,53.63,0.08100729942816999,0.013998061341187777
DHI,2023-01-01,95.6,41.41,119.73,104.83,148.24,0.08058455664360001,0.03337006490611476
KR,2023-01-01,47.35,3.09,45.08,43.09,44.42,0.08051995804427,0.0024880667035679428
NDAQ,2023-01-01,52.94,19.97,48.59,47.67,57.19,0.08034664131397,0.01604522427039981
OXY,2023-01-01,64.12,-7.12,57.67,63.76,59.22,0.07956475949921,-0.005665010876343752
EW,2023-01-01,82.31,9.92,93.62,68.86,75.69,0.07938273971783,0.007874767780008736
COR,2023-01-01,157.94,14.21,188.15,177.52,202.74,0.07917581933559001,0.01125088392758734
KDP,2023-01-01,33.72,6.01,30.02,30.45,32.28,0.07899656301242,0.0047476934370464415
FIS,2023-01-01,52.04,9.08,55.91,53.83,58.72,0.0788994587752,0.007164070856788159
KMB,2023-01-01,124.76,1.77,128.38,113.88,115.89,0.07878959841485,0.001394575891942845
NEM,2023-01-01,46.12,14.31,40.73,35.01,40.02,0.07840569142979,0.011219854443602949
DFS,2023-01-01,94.36,22.68,112.24,88.58,108.67,0.07821815210119,0.01773987689654989
PCG,2023-01-01,16.14,11.51,17.09,15.99,17.83,0.07821768047099001,0.009002855022210949
TEL,2023-01-01,127.19,13.95,136.75,120.68,137.52,0.07732753741703,0.010787191469675685
MPC,2023-01-01,131.42,-0.8,112.97,146.39,145.22,0.0771229088628,-0.0006169832709024001
FAST,2023-01-01,50.97,18.98,56.1,52.53,62.5,0.07711655659351,0.014636722441448199
AME,2023-01-01,142.83,11.03,159.16,146.56,162.73,0.07630569162893999,0.008416517786672082
PEG,2023-01-01,58.37,8.52,59.34,54.33,58.96,0.07624521242466001,0.006496092098581032
PRU,2023-01-01,74.99,11.34,81.4,87.86,97.82,0.07545419277472999,0.008556505460654382
KVUE,2023-07-01,19.07,7.08,20.42,,,0.0750932925005,0.0053166051090354
STZ,2023-01-01,218.68,-3.56,239.2,244.1,235.42,0.0743662671737,-0.00264743911138372
GLW,2023-01-01,33.02,0.69,33.17,28.96,29.16,0.07287766223853,0.000502855869445857
LHX,2023-01-01,189.3,21.94,189.18,169.17,206.28,0.07287110363103,0.015987920136647984
GRMN,2023-01-01,97.24,22.59,101.23,102.27,125.37,0.07220129294319999,0.016310272075868878
BKR,2023-01-01,28.75,-1.62,30.34,33.95,33.4,0.07178098937109,-0.0011628520278116582
CBRE,2023-01-01,72.53,27.14,80.53,72.69,92.42,0.0711109870835,0.0192995218944619
CTVA,2023-01-01,59.16,-5.78,56.5,50.04,47.15,0.07107557060296,-0.004108167980851088
HES,2023-01-01,136.23,-4.5,133.86,150.57,143.8,0.07106126694322,-0.0031977570124449
CCI,2023-01-01,119.65,26.6,104.19,85.25,107.93,0.07088676376819,0.01885587916233854
DAL,2023-01-01,33.86,8.41,46.59,36.39,39.45,0.07073620319518001,0.005948914688714639
CTSH,2023-01-01,58.83,11.95,63.07,65.95,73.83,0.07067713151228,0.008445917215717458
F,2023-01-01,10.91,-1.18,13.36,11.03,10.9,0.07064447112074,-0.000833604759224732
VRSK,2023-01-01,188.29,1.21,222.29,233.59,236.41,0.07033806624259001,0.000851090601535339
EA,2023-01-01,118.81,13.12,127.87,118.99,134.6,0.06974124769787,0.009150051697960545
ODFL,2023-01-01,167.67,-0.66,182.29,201.62,200.29,0.06966600794208999,-0.000459795652417794
XEL,2023-01-01,63.2,9.21,58.71,54.52,59.54,0.06963322964299,0.006413220450119379
TRGP,2023-01-01,71.9,2.69,73.31,82.83,85.06,0.06935877034187,0.0018657509221963028
A,2023-01-01,135.49,25.07,118.75,109.73,137.24,0.06911413428185,0.017326913464459793
IT,2023-01-01,323.27,30.09,348.03,343.47,446.82,0.06817290778155,0.020513227951468396
LVS,2023-01-01,57.8,7.78,56.62,44.33,47.78,0.06815560484848,0.005302506057211744
SYY,2023-01-01,73.24,11.38,70.46,63.33,70.54,0.06802436637534,0.007741172893513692
VLO,2023-01-01,133.38,-7.06,112.23,135.49,125.92,0.06754606702673,-0.0047687523320871375
OTIS,2023-01-01,81.62,10.84,85.99,78.17,86.64,0.06723978005614,0.0072887921580855755
LEN,2023-01-01,98.46,32.62,118.9,105.71,140.19,0.06711927853933,0.021894308659529446
EXC,2023-01-01,38.72,-4.01,37.94,35.42,34.0,0.06692535746455,-0.002683706834328455
