Ticker,Start_Date,Q1_Price,Q1_Percent_Change,Q2_Price,Q2_Percent_Change,Q3_Price,Q3_Percent_Change,Q4_Price,Q4_Percent_Change,Portfolio_Weight,Negative_Quarters_Impact
PRU,2023-01-01,74.99,-16.26,81.4,8.55,87.86,7.94,97.82,11.34,0.08,-122.69
KVUE,2023-07-01,19.07,-22.42,20.42,7.08,,,,,0.08,-168.36
STZ,2023-01-01,218.68,-2.25,239.2,9.38,244.1,2.05,235.42,-3.56,0.07,0.0
GLW,2023-01-01,33.02,10.18,33.17,0.45,28.96,-12.69,29.16,0.69,0.07,-92.48
LHX,2023-01-01,189.3,-4.63,189.18,-0.06,169.17,-10.58,206.28,21.94,0.07,-77.1
GRMN,2023-01-01,97.24,9.31,101.23,4.1,102.27,1.03,125.37,22.59,0.07,0.0
BKR,2023-01-01,28.75,3.49,30.34,5.53,33.95,11.9,33.4,-1.62,0.07,0.0
CBRE,2023-01-01,72.53,-7.06,80.53,11.03,72.69,-9.74,92.42,27.14,0.07,0.0
CTVA,2023-01-01,59.16,3.39,56.5,-4.5,50.04,-11.43,47.15,-5.78,0.07,-81.24
HES,2023-01-01,136.23,-0.19,133.86,-1.74,150.57,12.48,143.8,-4.5,0.07,0.0
CCI,2023-01-01,119.65,-1.98,104.19,-12.92,85.25,-18.18,107.93,26.6,0.07,-220.46
DAL,2023-01-01,33.86,3.67,46.59,37.6,36.39,-21.89,39.45,8.41,0.07,-154.84
CTSH,2023-01-01,58.83,5.89,63.07,7.21,65.95,4.57,73.83,11.95,0.07,0.0
F,2023-01-01,10.91,12.71,13.36,22.46,11.03,-17.44,10.9,-1.18,0.07,-123.2
VRSK,2023-01-01,188.29,7.44,222.29,18.06,233.59,5.08,236.41,1.21,0.07,0.0
EA,2023-01-01,118.81,-2.63,127.87,7.63,118.99,-6.94,134.6,13.12,0.07,0.0
ODFL,2023-01-01,167.67,18.56,182.29,8.72,201.62,10.6,200.29,-0.66,0.07,0.0
