Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,M3_Price,M3_Percent_Change,M4_Price,M4_Percent_Change,M5_Price,M5_Percent_Change,M6_Price,M6_Percent_Change,M7_Price,M7_Percent_Change,M8_Price,M8_Percent_Change,M9_Price,M9_Percent_Change,M10_Price,M10_Percent_Change,M11_Price,M11_Percent_Change,Portfolio_Weight,Negative_Periods_Impact
KKR,2023-01-01,54.62,17.66,54.59,-0.05,51.41,-5.83,52.14,1.42,50.51,-3.13,55.29,9.46,58.16,5.19,62.65,7.72,60.94,-2.73,55.23,-9.37,75.03,35.85,0.25,0.0
SCHW,2023-01-01,74.45,-7.76,75.3,1.14,51.13,-32.1,50.48,-1.27,51.86,2.73,55.16,6.36,64.03,16.08,58.24,-9.04,53.52,-8.1,50.9,-4.9,59.78,17.45,0.24,-785.59
ETN,2023-01-01,156.88,2.29,169.31,7.92,166.25,-1.81,163.02,-1.94,172.97,6.1,195.75,13.17,207.15,5.82,227.71,9.93,210.0,-7.78,205.95,-1.93,225.05,9.27,0.24,0.0
AMAT,2023-01-01,109.97,12.37,115.72,5.23,119.58,3.34,111.39,-6.85,131.82,18.34,141.96,7.69,148.76,4.79,152.62,2.59,137.17,-10.12,131.41,-4.2,148.06,12.67,0.24,-242.36
BA,2023-01-01,212.11,9.93,201.47,-5.02,212.8,5.62,206.25,-3.08,206.46,0.1,210.5,1.96,237.55,12.85,226.0,-4.86,191.47,-15.28,189.69,-0.93,231.77,22.18,0.24,-364.77
BSX,2023-01-01,46.62,0.3,46.76,0.3,49.98,6.89,52.2,4.44,51.3,-1.72,53.72,4.72,51.57,-4.0,54.26,5.22,52.49,-3.26,51.29,-2.29,55.92,9.03,0.24,0.0
C,2023-01-01,47.17,12.66,46.64,-1.12,43.57,-6.58,44.74,2.69,41.75,-6.68,43.06,3.14,44.22,2.69,39.31,-11.1,38.74,-1.45,37.37,-3.54,44.04,17.85,0.24,-261.32
UBER,2023-01-01,30.88,21.72,33.43,8.26,31.5,-5.77,32.0,1.59,37.5,17.19,43.17,15.12,48.67,12.74,47.51,-2.38,45.57,-4.08,43.25,-5.09,56.67,31.03,0.23,0.0
COP,2023-01-01,112.34,3.56,96.97,-13.68,98.89,1.98,95.55,-3.38,94.14,-1.48,98.87,5.02,111.53,12.8,114.63,2.78,115.44,0.71,114.71,-0.63,111.0,-3.23,0.22,-302.84
PANW,2023-01-01,78.68,11.35,93.44,18.76,99.0,5.95,90.33,-8.76,105.5,16.79,127.55,20.9,124.94,-2.05,121.62,-2.66,117.5,-3.39,122.5,4.26,146.15,19.31,0.22,0.0
ADP,2023-01-01,215.95,-6.26,210.63,-2.46,210.28,-0.17,210.94,0.31,202.44,-4.03,211.19,4.32,239.29,13.31,246.58,3.05,233.99,-5.11,209.11,-10.63,223.35,6.81,0.22,-229.12
DE,2023-01-01,410.24,-1.39,406.65,-0.88,402.76,-0.96,370.49,-8.01,340.53,-8.09,393.42,15.53,421.91,7.24,405.59,-3.87,372.2,-8.23,358.15,-3.77,358.18,0.01,0.21,0.0
FI,2023-01-01,105.94,4.15,114.74,8.31,112.57,-1.89,121.66,8.07,112.1,-7.86,125.69,12.12,125.96,0.21,122.22,-2.97,112.09,-8.29,114.08,1.78,129.97,13.93,0.21,0.0
